agent,turn,iter,seed,response,prob0,prob1,pos_init_seed_0,pos_init_seed_1,pos_response_0,pos_response_1,threshold,nr_sim,max_exchanges,init_seed,log_id,nr_agents,resp_knnd_1_a0,resp_knnd_3_a0,resp_knnd_5_a0,avg_dist_remain_a0,avg_knnd_1_a0,avg_knnd_3_a0,avg_knnd_5_a0,var_knnd_1_a0,var_knnd_3_a0,var_knnd_5_a0,resp_knnd_1_a1,resp_knnd_3_a1,resp_knnd_5_a1,avg_dist_remain_a1,avg_knnd_1_a1,avg_knnd_3_a1,avg_knnd_5_a1,var_knnd_1_a1,var_knnd_3_a1,var_knnd_5_a1,vecvar_a0,vecvar_a1,resp_knnd_1_a0_current,resp_knnd_1_a1_current,resp_knnd_3_a0_current,resp_knnd_3_a1_current,resp_knnd_5_a0_current,resp_knnd_5_a1_current,resp_neighbors_a0,resp_neighbors_a1,resp_neighbors_a0_current,resp_neighbors_a1_current
wiki_20_87,0,0,albatross,saurian,0.00987,0.01285,29,0,218,187,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,101.31712,97.94319,94.96676,0.01273,0.0104,0.01077,0.01099,0.00086,0.00077,0.00072,95.51098,91.82736,90.99181,0.01273,0.0104,0.01077,0.01099,0.00086,0.00077,0.00073,0.02826,0.0284,100.0,95.51098,95.96929,91.82736,94.78673,90.99181,74,32,73,32
wiki_0_69,1,0,saurian,harvestman,0.01302,0.01016,218,187,32,98,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,97.75171,93.19664,89.60573,0.01273,0.0104,0.01077,0.01099,0.00086,0.00077,0.00072,98.4252,93.54537,93.02326,0.01273,0.0104,0.01077,0.01099,0.00086,0.00077,0.00073,0.02826,0.0284,97.75171,93.72071,93.19664,93.45794,89.60573,93.02326,12,38,12,37
wiki_20_87,2,0,harvestman,goose,0.00983,0.01366,32,98,226,88,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,101.7294,95.32888,90.41591,0.01273,0.01041,0.01077,0.01099,0.00086,0.00077,0.00072,95.60229,93.54537,93.02326,0.01273,0.0104,0.01077,0.01099,0.00086,0.00077,0.00073,0.02826,0.0284,96.24639,95.60229,94.33962,93.54537,89.44544,93.02326,14,50,13,49
wiki_0_69,3,0,goose,duck,0.01375,0.0099,226,88,10,64,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,94.60738,88.41733,87.10801,0.01273,0.01041,0.01077,0.01099,0.00086,0.00077,0.00072,100.2004,98.81423,94.16196,0.01273,0.01041,0.01077,0.01099,0.00087,0.00077,0.00073,0.02826,0.0284,94.60738,100.0,88.41733,95.96929,87.10801,93.45794,10,58,9,56
wiki_20_87,4,0,duck,dachshund,0.01026,0.01102,10,64,212,55,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,97.56098,95.32888,94.87666,0.01273,0.01041,0.01077,0.01099,0.00086,0.00077,0.00073,114.54754,100.60362,98.91197,0.01274,0.01041,0.01078,0.01099,0.00086,0.00077,0.00073,0.02826,0.0284,97.56098,114.54754,95.14748,100.60362,92.9368,98.91197,44,50,42,48
wiki_0_69,5,0,dachshund,poodle,0.01245,0.00821,212,55,49,166,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,100.1001,97.18173,93.37068,0.01273,0.01041,0.01078,0.011,0.00086,0.00077,0.00072,111.60714,101.0101,93.19664,0.01274,0.01042,0.01078,0.011,0.00086,0.00077,0.00073,0.02826,0.0284,100.1001,110.13216,97.18173,96.61836,93.37068,92.25092,69,38,69,35
wiki_20_87,6,0,poodle,copperhead,0.00982,0.01396,49,166,172,45,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,107.18114,105.04202,101.31712,0.01273,0.01043,0.01078,0.01101,0.00086,0.00077,0.00072,95.96929,90.66183,87.0322,0.01273,0.01042,0.01078,0.011,0.00086,0.00077,0.00073,0.02826,0.0284,107.18114,95.96929,105.04202,90.66183,100.60362,87.0322,91,10,90,10
wiki_0_69,7,0,copperhead,cottonmouth,0.01128,0.0091,172,45,175,47,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,101.11223,98.13543,97.75171,0.01274,0.01043,0.01079,0.01101,0.00086,0.00077,0.00072,101.11223,99.7009,95.96929,0.01274,0.01042,0.01078,0.011,0.00086,0.00077,0.00073,0.02826,0.0284,101.11223,100.3009,98.13543,98.81423,96.99321,94.87666,46,27,43,26
wiki_20_87,8,0,cottonmouth,pony,0.00869,0.01388,175,47,205,165,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,113.12217,106.04454,104.05827,0.01274,0.01044,0.0108,0.01102,0.00086,0.00077,0.00071,90.82652,89.20607,88.18342,0.01273,0.01042,0.01078,0.011,0.00086,0.00077,0.00073,0.02826,0.0284,107.64263,90.82652,104.49321,89.20607,102.45902,87.48906,94,15,89,13
wiki_0_69,9,0,pony,horse,0.01142,0.01062,205,165,203,101,0.01179,240,240,albatross,wiki_20_87_wiki_0_69,2,90.57971,90.09009,89.20607,0.01274,0.01044,0.0108,0.01102,0.00086,0.00077,0.00071,96.15385,94.60738,92.08103,0.01273,0.01043,0.01078,0.011,0.00086,0.00077,0.00073,0.02826,0.0284,90.57971,96.15385,90.09009,94.60738,89.20607,92.08103,28,16,27,14
